PROVINCIA;VOTOS_P1;VOTOS_P2
LIMA;88;160
LIMA;84;152
LIMA;76;165
LIMA;77;161
LIMA;69;102
LIMA;85;153
LIMA;110;141
LIMA;85;137
LIMA;79;158
LIMA;113;134
LIMA;91;129
LIMA;88;143
LIMA;77;160
LIMA;93;144
LIMA;78;161
LIMA;103;137
LIMA;89;155
LIMA;63;111
LIMA;40;194
LIMA;59;160
LIMA;78;157
LIMA;85;142
LIMA;72;143
LIMA;88;145
LIMA;82;159
LIMA;80;147
LIMA;72;164
LIMA;100;146
LIMA;76;156
LIMA;87;145
LIMA;91;155
LIMA;61;153
LIMA;74;138
LIMA;71;130
LIMA;78;154
LIMA;56;171
LIMA;70;156
LIMA;95;154
LIMA;80;161
LIMA;61;166
LIMA;77;131
LIMA;87;136
LIMA;86;158
LIMA;110;129
LIMA;66;169
LIMA;85;140
LIMA;78;148
LIMA;96;143
LIMA;86;129
LIMA;99;161
LIMA;106;138
LIMA;92;150
CANTA;103;106
LIMA;86;134
LIMA;81;143
CANTA;50;117
CA真ETE;105;136
CA真ETE;96;125
LIMA;66;153
CANTA;122;105
CA真ETE;124;120
CA真ETE;116;110
LIMA;82;122
LIMA;92;136
CA真ETE;123;125
CA真ETE;91;142
CA真ETE;93;139
CA真ETE;72;171
CA真ETE;106;122
CA真ETE;116;114
CA真ETE;94;150
LIMA;98;128
LIMA;107;115
CA真ETE;103;140
CA真ETE;98;127
CA真ETE;96;129
LIMA;83;150
LIMA;83;138
LIMA;77;152
CA真ETE;118;100
CA真ETE;93;129
CA真ETE;120;124
CA真ETE;127;125
CA真ETE;127;119
CA真ETE;77;142
CA真ETE;80;161
LIMA;78;141
LIMA;79;135
CA真ETE;86;151
CA真ETE;122;117
CA真ETE;116;121
LIMA;102;143
LIMA;127;129
CA真ETE;120;121
CA真ETE;112;142
CA真ETE;119;132
LIMA;88;156
CA真ETE;105;116
CA真ETE;77;83
CA真ETE;108;140
CA真ETE;118;130
CA真ETE;109;128
LIMA;96;148
LIMA;105;131
CA真ETE;110;124
CA真ETE;121;121
LIMA;130;116
LIMA;95;153
LIMA;94;140
LIMA;96;149
CAJATAMBO;44;92
LIMA;89;93
LIMA;108;130
LIMA;92;143
LIMA;69;131
LIMA;80;163
LIMA;101;131
LIMA;118;115
LIMA;71;152
LIMA;109;117
LIMA;88;150
LIMA;87;140
LIMA;62;180
LIMA;62;187
LIMA;87;160
LIMA;122;133
LIMA;115;130
LIMA;114;139
LIMA;105;129
LIMA;112;149
LIMA;95;141
LIMA;77;157
LIMA;81;116
LIMA;72;166
LIMA;83;147
LIMA;95;160
LIMA;86;128
LIMA;102;147
LIMA;112;137
LIMA;113;112
LIMA;100;120
LIMA;92;145
LIMA;73;170
LIMA;77;166
LIMA;87;157
LIMA;103;159
LIMA;75;167
LIMA;56;176
LIMA;103;112
LIMA;66;187
LIMA;115;128
LIMA;53;153
LIMA;89;144
LIMA;90;170
LIMA;76;110
LIMA;72;161
LIMA;85;167
LIMA;96;119
LIMA;50;160
LIMA;101;131
LIMA;81;125
HUARAL;87;105
HUAROCHIRI;84;135
HUAROCHIRI;109;121
HUARAL;98;139
HUARAL;101;143
HUARAL;49;121
HUAROCHIRI;26;31
HUAROCHIRI;100;148
HUARAL;93;133
HUARAL;107;128
HUARAL;110;110
BARRANCA;106;119
HUARAL;99;129
HUARAL;93;111
HUARAL;112;123
BARRANCA;104;125
BARRANCA;99;121
HUAROCHIRI;58;69
HUARAL;117;126
HUARAL;90;151
HUARAL;51;116
HUARAL;111;121
BARRANCA;78;108
YAUYOS;112;52
HUARAL;126;123
BARRANCA;88;127
YAUYOS;92;49
HUARAL;145;64
BARRANCA;117;120
BARRANCA;98;142
YAUYOS;26;44
HUARAL;120;132
HUARAL;103;143
BARRANCA;94;122
YAUYOS;55;77
YAUYOS;66;52
YAUYOS;69;77
HUARAL;73;106
HUARAL;105;100
HUARAL;103;108
HUARAL;103;134
HUARAL;90;129
HUARAL;70;119
HUARAL;98;118
HUARAL;107;105
HUARAL;85;134
HUARAL;89;112
HUAROCHIRI;94;100
HUARAL;102;135
HUARAL;108;122
HUARAL;80;131
HUAROCHIRI;46;61
HUARAL;102;114
HUARAL;32;39
HUAURA;53;158
HUAURA;101;141
HUAROCHIRI;113;44
CA真ETE;85;138
CA真ETE;132;124
HUAURA;70;134
HUAROCHIRI;98;88
CA真ETE;100;114
HUAURA;115;100
HUAURA;69;91
CA真ETE;140;95
HUAURA;113;121
HUAURA;78;107
HUAROCHIRI;125;109
HUAURA;110;140
HUAURA;23;28
HUAURA;89;108
HUAURA;101;119
HUAURA;84;104
HUAURA;79;112
HUAROCHIRI;136;96
HUAURA;88;137
HUAURA;82;154
HUAURA;104;138
HUAURA;95;93
HUAROCHIRI;91;85
HUAURA;82;134
HUAURA;91;136
HUAURA;88;120
HUAURA;108;113
HUAROCHIRI;153;97
HUAURA;95;140
HUAURA;94;150
HUAURA;112;115
HUAURA;132;101
HUAURA;141;96
HUAURA;36;56
HUAURA;127;99
HUAURA;128;102
HUAURA;97;144
HUAURA;96;74
HUAROCHIRI;145;67
HUAURA;64;137
HUAURA;149;85
HUAURA;162;74
HUAURA;81;124
HUAURA;112;87
HUAURA;115;117
HUAURA;126;96
CA真ETE;68;138
CA真ETE;114;119
HUAURA;72;107
HUAURA;73;78
HUAURA;104;120
HUAURA;102;105
CA真ETE;105;109
CA真ETE;93;135
HUAURA;104;128
HUAURA;59;99
HUAURA;58;90
HUAROCHIRI;125;100
HUAURA;93;139
HUAURA;87;146
HUAROCHIRI;106;96
HUAURA;37;114
MAYNAS;94;116
MAYNAS;95;127
MAYNAS;90;93
MAYNAS;96;101
MAYNAS;100;104
MAYNAS;104;103
MAYNAS;91;109
MAYNAS;89;137
MAYNAS;50;116
MAYNAS;104;114
MAYNAS;114;109
MAYNAS;110;61
MAYNAS;92;92
MAYNAS;101;111
MAYNAS;78;124
MAYNAS;100;121
MAYNAS;87;114
MAYNAS;76;106
MAYNAS;64;116
MAYNAS;81;116
MAYNAS;97;121
MAYNAS;91;126
MAYNAS;62;115
MAYNAS;73;119
MAYNAS;50;114
MAYNAS;69;92
MAYNAS;42;108
MAYNAS;88;94
MAYNAS;92;84
MAYNAS;60;101
MAYNAS;78;100
MAYNAS;97;78
MAYNAS;104;67
MAYNAS;64;116
MAYNAS;53;74
MAYNAS;102;87
MAYNAS;84;120
MAYNAS;90;124
MAYNAS;59;97
MAYNAS;94;107
MAYNAS;103;108
MAYNAS;91;129
MAYNAS;85;123
MAYNAS;69;119
MAYNAS;63;129
MAYNAS;67;121
MAYNAS;116;53
MAYNAS;94;34
MAYNAS;99;111
MAYNAS;95;125
MAYNAS;99;105
MAYNAS;75;120
MAYNAS;104;102
MAYNAS;66;61
MAYNAS;99;119
MAYNAS;76;118
MAYNAS;59;106
MAYNAS;111;101
MAYNAS;97;66
OYON;94;71
HUAROCHIRI;129;97
MAYNAS;70;99
MAYNAS;76;118
BARRANCA;111;110
OYON;85;125
OYON;63;82
HUAROCHIRI;129;116
HUAROCHIRI;44;117
MAYNAS;95;130
BARRANCA;87;113
BARRANCA;99;119
HUAROCHIRI;134;108
MAYNAS;95;74
BARRANCA;69;69
LIMA;98;144
YAUYOS;115;89
HUARAL;139;85
MAYNAS;92;114
MAYNAS;104;122
MAYNAS;107;104
MAYNAS;116;113
BARRANCA;99;120
LIMA;94;100
MAYNAS;91;120
BARRANCA;101;117
LIMA;129;112
MAYNAS;59;111
MAYNAS;100;114
BARRANCA;121;102
LIMA;118;133
MAYNAS;76;127
LIMA;82;156
MAYNAS;80;100
MAYNAS;103;95
BARRANCA;102;114
BARRANCA;17;35
BARRANCA;85;114
MAYNAS;93;135
MAYNAS;103;119
BARRANCA;83;128
LIMA;108;138
MAYNAS;124;108
BARRANCA;85;128
LIMA;134;123
LIMA;103;151
MAYNAS;121;98
BARRANCA;77;99
BARRANCA;100;120
BARRANCA;81;148
BARRANCA;111;113
BARRANCA;90;100
LIMA;101;121
BARRANCA;80;117
BARRANCA;135;96
CA真ETE;99;100
MAYNAS;36;94
BARRANCA;97;113
HUAURA;139;86
HUAURA;145;101
MAYNAS;55;127
BARRANCA;133;114
TAMBOPATA;160;46
MARISCAL RAMON CASTILLA;30;62
MARISCAL RAMON CASTILLA;52;98
TAMBOPATA;115;67
TAMBOPATA;119;66
TAMBOPATA;138;74
MARISCAL RAMON CASTILLA;26;110
MARISCAL RAMON CASTILLA;14;114
MAYNAS;57;109
MARISCAL RAMON CASTILLA;14;85
MARISCAL RAMON CASTILLA;16;101
MAYNAS;95;60
TAMBOPATA;120;69
TAMBOPATA;132;77
TAMBOPATA;156;61
MARISCAL RAMON CASTILLA;47;71
TAMBOPATA;170;61
TAMBOPATA;140;71
TAMBOPATA;138;74
TAMBOPATA;114;73
ALTO AMAZONAS;198;10
TAMBOPATA;118;42
TAMBOPATA;161;77
TAMBOPATA;161;47
TAMBOPATA;184;37
REQUENA;47;117
UCAYALI;90;37
DATEM DEL MARA真ON;127;8
UCAYALI;128;22
TAMBOPATA;135;63
TAMBOPATA;148;69
TAMBOPATA;159;63
UCAYALI;72;65
TAMBOPATA;163;74
MARISCAL RAMON CASTILLA;46;130
MARISCAL RAMON CASTILLA;36;105
DATEM DEL MARA真ON;54;98
DATEM DEL MARA真ON;45;20
TAMBOPATA;158;67
TAMBOPATA;165;63
MARISCAL RAMON CASTILLA;64;106
MARISCAL RAMON CASTILLA;33;53
DATEM DEL MARA真ON;83;73
TAMBOPATA;128;65
ALTO AMAZONAS;132;78
LORETO;52;76
UCAYALI;96;85
ALTO AMAZONAS;115;5
ALTO AMAZONAS;119;10
LORETO;65;67
UCAYALI;120;93
ALTO AMAZONAS;149;7
UCAYALI;113;103
MAYNAS;104;90
REQUENA;68;105
REQUENA;57;104
REQUENA;51;92
UCAYALI;73;45
UCAYALI;98;54
MAYNAS;110;87
ALTO AMAZONAS;72;37
ALTO AMAZONAS;116;38
UCAYALI;72;80
ALTO AMAZONAS;97;68
ALTO AMAZONAS;96;80
ALTO AMAZONAS;107;31
REQUENA;79;108
UCAYALI;65;72
MARISCAL RAMON CASTILLA;48;94
ALTO AMAZONAS;94;69
ALTO AMAZONAS;117;62
REQUENA;83;104
MARISCAL RAMON CASTILLA;47;125
ALTO AMAZONAS;166;72
ALTO AMAZONAS;147;86
ALTO AMAZONAS;129;32
LORETO;114;83
MARISCAL RAMON CASTILLA;37;126
LORETO;89;111
MAYNAS;59;106
MAYNAS;67;101
LORETO;103;108
REQUENA;26;136
REQUENA;32;124
MAYNAS;73;126
ALTO AMAZONAS;147;74
LORETO;88;79
REQUENA;29;129
REQUENA;86;74
ALTO AMAZONAS;146;68
ALTO AMAZONAS;119;72
LORETO;38;85
MAYNAS;113;89
ALTO AMAZONAS;134;79
ALTO AMAZONAS;99;62
MAYNAS;83;100
ALTO AMAZONAS;120;73
ALTO AMAZONAS;131;64
PIURA;61;171
DANIEL ALCIDES CARRION;174;28
DANIEL ALCIDES CARRION;159;16
PASCO;124;28
OXAPAMPA;71;125
OXAPAMPA;74;105
OXAPAMPA;73;97
OXAPAMPA;74;117
OXAPAMPA;85;36
PIURA;81;141
PIURA;36;160
PIURA;29;155
OXAPAMPA;59;141
OXAPAMPA;46;105
OXAPAMPA;117;40
PIURA;71;146
OXAPAMPA;78;141
PASCO;148;54
OXAPAMPA;54;140
OXAPAMPA;59;135
OXAPAMPA;45;133
PIURA;40;179
PASCO;145;33
OXAPAMPA;68;156
PIURA;65;137
PASCO;133;46
PIURA;75;148
PASCO;150;44
OXAPAMPA;57;59
PIURA;77;146
OXAPAMPA;76;82
OXAPAMPA;53;76
PIURA;33;176
DANIEL ALCIDES CARRION;173;25
OXAPAMPA;68;82
DANIEL ALCIDES CARRION;168;41
DANIEL ALCIDES CARRION;186;19
DANIEL ALCIDES CARRION;191;19
PIURA;81;146
PIURA;69;159
OXAPAMPA;71;129
PIURA;85;147
PASCO;134;32
PASCO;139;42
DANIEL ALCIDES CARRION;144;22
PIURA;71;160
PASCO;150;41
ILO;116;87
MARISCAL NIETO;189;50
PASCO;147;41
PASCO;155;53
MARISCAL NIETO;188;14
MARISCAL NIETO;210;11
ILO;48;17
PASCO;130;53
MARISCAL NIETO;192;29
ILO;167;78
PASCO;89;97
MARISCAL NIETO;178;47
ILO;146;78
PASCO;139;42
MARISCAL NIETO;180;64
MARISCAL NIETO;184;44
MARISCAL NIETO;191;45
ILO;175;62
PASCO;162;56
MARISCAL NIETO;189;45
PASCO;151;41
PASCO;188;31
PASCO;154;58
MARISCAL NIETO;159;51
ILO;142;72
PASCO;115;25
GENERAL SANCHEZ CERRO;229;2
GENERAL SANCHEZ CERRO;222;7
ILO;107;88
GENERAL SANCHEZ CERRO;135;32
ILO;94;108
MARISCAL NIETO;206;
TAMBOPATA;193;31
TAMBOPATA;166;37
ILO;124;101
ILO;126;89
MANU;118;11
MARISCAL NIETO;184;55
MARISCAL NIETO;182;62
MARISCAL NIETO;158;43
ILO;132;80
MANU;145;46
MARISCAL NIETO;162;48
MARISCAL NIETO;143;43
ILO;168;71
ILO;146;82
TAHUAMANU;123;56
TAHUAMANU;128;52
TAHUAMANU;144;61
MARISCAL NIETO;166;56
MARISCAL NIETO;146;55
PIURA;82;144
PIURA;73;109
PIURA;39;46
PIURA;119;108
PIURA;62;139
PIURA;91;159
PIURA;154;13
PIURA;90;99
PIURA;103;122
PIURA;91;113
PIURA;75;158
PIURA;70;187
PIURA;60;83
PIURA;83;155
PIURA;60;173
PIURA;111;106
PIURA;88;131
PIURA;62;111
PIURA;81;65
PIURA;93;152
PIURA;55;163
PIURA;62;92
PIURA;47;151
PIURA;81;143
PIURA;60;119
AYABACA;92;15
PIURA;75;127
PIURA;38;77
PIURA;35;195
PIURA;99;105
PIURA;92;162
PIURA;105;118
PIURA;139;104
PIURA;99;104
PIURA;92;151
PIURA;96;152
PIURA;75;120
PIURA;25;27
PIURA;52;176
PIURA;105;126
PIURA;59;93
PIURA;100;94
PIURA;64;139
PIURA;61;160
PIURA;70;126
PIURA;88;163
PIURA;66;143
PIURA;71;167
PIURA;56;110
PIURA;51;108
PIURA;113;78
PIURA;104;98
PIURA;72;119
PIURA;70;127
PIURA;87;118
PIURA;114;100
PIURA;104;100
PIURA;60;165
PIURA;59;157
PIURA;97;131
PIURA;23;74
PIURA;70;124
PIURA;29;48
PIURA;46;171
PIURA;52;159
PIURA;74;136
PIURA;71;124
PIURA;74;160
PIURA;94;151
PIURA;84;128
PIURA;114;92
PIURA;26;35
PIURA;82;111
PIURA;95;165
PIURA;;
PIURA;57;170
PIURA;86;147
PIURA;70;151
PIURA;88;120
PIURA;90;175
PIURA;93;115
PIURA;62;181
PIURA;80;142
PIURA;76;154
PIURA;81;146
PIURA;79;159
PIURA;88;132
PIURA;84;124
PIURA;47;173
PIURA;61;102
PIURA;53;116
PIURA;59;104
PIURA;42;122
PIURA;58;174
PIURA;41;173
PIURA;77;128
PIURA;76;134
PIURA;74;154
PIURA;64;149
PIURA;59;111
PIURA;64;161
PIURA;67;144
PIURA;91;148
PIURA;62;144
PIURA;72;114
PIURA;69;159
PIURA;73;155
MORROPON;114;109
MORROPON;114;118
MORROPON;112;113
SULLANA;71;170
MORROPON;128;108
PAITA;78;125
SULLANA;44;181
MORROPON;119;115
MORROPON;89;21
PAITA;83;113
MORROPON;127;23
PAITA;70;139
MORROPON;112;79
SULLANA;43;178
SULLANA;39;181
SULLANA;41;194
SULLANA;80;163
SULLANA;53;159
SULLANA;45;107
PAITA;63;116
PAITA;121;84
SULLANA;54;141
PAITA;104;122
SULLANA;59;148
SULLANA;44;141
SULLANA;53;109
PAITA;93;149
PAITA;126;109
SULLANA;34;178
PAITA;81;137
PAITA;88;142
SULLANA;52;182
SULLANA;45;130
SULLANA;55;94
PAITA;54;139
PAITA;74;152
SULLANA;46;187
PAITA;81;131
PAITA;99;125
PAITA;85;132
MORROPON;118;56
PAITA;53;170
PAITA;56;170
MORROPON;73;28
PAITA;21;49
PAITA;88;141
MORROPON;99;70
MORROPON;111;66
HUANCABAMBA;165;48
MORROPON;66;109
AYABACA;117;33
HUANCABAMBA;115;95
MORROPON;68;111
AYABACA;139;23
HUANCABAMBA;107;86
MORROPON;66;163
MORROPON;71;153
MORROPON;73;131
MORROPON;82;124
MORROPON;65;148
AYABACA;115;45
AYABACA;102;51
AYABACA;67;16
HUANCABAMBA;118;52
HUANCABAMBA;89;75
AYABACA;110;22
AYABACA;94;19
MORROPON;57;155
MORROPON;41;181
AYABACA;100;24
HUANCABAMBA;94;44
HUANCABAMBA;106;57
MORROPON;50;186
AYABACA;140;24
AYABACA;147;24
AYABACA;148;17
HUANCABAMBA;136;38
MORROPON;53;158
MORROPON;83;157
MORROPON;84;154
MORROPON;60;182
AYABACA;158;21
AYABACA;117;21
HUANCABAMBA;91;28
MORROPON;68;138
AYABACA;115;29
AYABACA;132;22
AYABACA;119;24
AYABACA;79;129
HUANCABAMBA;90;43
HUANCABAMBA;115;32
AYABACA;121;36
AYABACA;157;25
HUANCABAMBA;107;43
AYABACA;100;37
AYABACA;106;34
HUANCABAMBA;127;30
HUANCABAMBA;142;30
HUANCABAMBA;145;34
MORROPON;84;157
AYABACA;102;59
AYABACA;104;40
HUANCABAMBA;102;59
PUNO;223;15
SECHURA;97;137
MORROPON;94;110
PUNO;222;30
PUNO;218;12
SECHURA;86;134
MORROPON;171;30
PUNO;206;47
MORROPON;140;37
SECHURA;75;148
SECHURA;118;111
SECHURA;126;95
PUNO;188;28
PUNO;195;44
PUNO;233;6
PUNO;240;20
PIURA;89;128
PIURA;77;145
PUNO;202;27
PIURA;87;136
PUNO;177;66
PIURA;99;128
PIURA;105;101
PUNO;181;37
PUNO;212;39
PUNO;200;30
PUNO;224;19
PUNO;210;7
PIURA;37;190
PUNO;183;29
PUNO;191;59
PUNO;168;70
PUNO;200;19
PUNO;205;32
PUNO;181;48
PUNO;194;51
PUNO;185;54
PUNO;195;16
HUANCABAMBA;104;68
PUNO;179;26
PUNO;155;59
SECHURA;92;130
HUANCABAMBA;93;58
HUANCABAMBA;76;59
HUANCABAMBA;73;67
PUNO;208;36
SECHURA;96;146
HUANCABAMBA;97;65
PUNO;195;36
PUNO;215;9
HUANCABAMBA;131;9
PUNO;200;39
SULLANA;80;168
SULLANA;75;169
TALARA;120;87
TALARA;117;120
SULLANA;77;127
SULLANA;81;145
TALARA;108;109
TALARA;57;70
TALARA;32;212
SULLANA;56;125
SULLANA;73;169
SULLANA;68;144
SULLANA;104;134
TALARA;102;82
TALARA;86;108
SECHURA;68;133
TALARA;91;84
SECHURA;18;31
SECHURA;88;132
SULLANA;28;168
SULLANA;114;128
TALARA;94;90
TALARA;123;76
TALARA;99;87
SULLANA;22;162
SULLANA;34;170
TALARA;107;68
TALARA;104;82
SULLANA;40;116
TALARA;77;103
TALARA;115;102
SECHURA;44;176
SULLANA;37;194
TALARA;95;111
SULLANA;100;159
TALARA;88;100
TALARA;97;99
SULLANA;61;128
SULLANA;49;125
TALARA;75;162
TALARA;107;127
TALARA;117;115
TALARA;104;122
SULLANA;39;190
SULLANA;78;166
TALARA;64;121
SULLANA;25;162
SULLANA;85;123
LAMPA;227;23
SAN ROMAN;201;46
SAN ROMAN;198;51
SAN ROMAN;216;38
LAMPA;229;8
MELGAR;224;12
SAN ROMAN;191;63
SAN ROMAN;206;47
MELGAR;205;7
SAN ROMAN;197;35
MELGAR;194;19
MELGAR;221;7
SAN ROMAN;205;30
SAN ROMAN;192;55
SAN ROMAN;180;61
SAN ROMAN;204;41
SANDIA;181;26
SAN ROMAN;205;42
LAMPA;211;25
LAMPA;200;23
MELGAR;245;16
SAN ROMAN;210;57
SAN ROMAN;206;42
SAN ROMAN;200;39
MELGAR;215;22
MELGAR;229;9
SANDIA;180;43
MELGAR;219;24
SAN ROMAN;211;45
SANDIA;123;16
SANDIA;199;16
SAN ROMAN;192;45
MELGAR;195;12
MELGAR;176;28
SANDIA;189;19
HUANCANE;189;16
MELGAR;181;9
MELGAR;173;20
SANDIA;221;14
MELGAR;220;10
AZANGARO;208;21
AZANGARO;257;6
AZANGARO;233;7
CHUCUITO;201;10
CHUCUITO;174;13
CHUCUITO;232;21
AZANGARO;211;15
AZANGARO;204;5
CHUCUITO;199;27
HUANCANE;240;9
AZANGARO;211;9
AZANGARO;193;16
AZANGARO;208;11
CHUCUITO;217;11
CHUCUITO;210;15
AZANGARO;243;3
CHUCUITO;181;19
CHUCUITO;199;8
CHUCUITO;195;11
AZANGARO;256;5
AZANGARO;239;4
AZANGARO;230;12
CARABAYA;167;16
CARABAYA;160;18
AZANGARO;198;1
CHUCUITO;202;16
CHUCUITO;206;22
AZANGARO;217;11
CARABAYA;183;19
PUNO;230;14
AZANGARO;205;29
AZANGARO;216;20
CARABAYA;214;23
PUNO;110;17
CARABAYA;175;29
CARABAYA;153;59
CHUCUITO;194;16
AZANGARO;180;8
AZANGARO;239;10
CARABAYA;172;33
HUANCANE;269;2
CHUCUITO;218;9
AZANGARO;262;11
AZANGARO;225;12
MARISCAL CACERES;87;86
MOYOBAMBA;126;55
LAMAS;118;100
MOYOBAMBA;93;102
MARISCAL CACERES;99;130
MOYOBAMBA;131;101
MOYOBAMBA;112;104
LAMAS;88;112
MARISCAL CACERES;129;33
MOYOBAMBA;130;91
LAMAS;106;57
MARISCAL CACERES;87;45
MARISCAL CACERES;152;34
LAMAS;93;83
MARISCAL CACERES;139;33
MOYOBAMBA;120;104
LAMAS;85;98
MOYOBAMBA;102;100
MOYOBAMBA;104;94
HUALLAGA;95;69
LAMAS;140;87
LAMAS;109;106
MOYOBAMBA;99;78
HUALLAGA;113;69
LAMAS;88;98
MARISCAL CACERES;101;65
MOYOBAMBA;123;99
HUALLAGA;116;81
LAMAS;100;105
MARISCAL CACERES;92;86
RIOJA;117;102
RIOJA;115;103
MOYOBAMBA;88;66
MOYOBAMBA;90;72
LAMAS;111;71
LAMAS;126;57
MARISCAL CACERES;85;82
MOYOBAMBA;123;95
HUALLAGA;97;114
LAMAS;122;54
CARABAYA;155;12
CHUCUITO;135;7
MOYOBAMBA;108;105
MARISCAL CACERES;122;110
MARISCAL CACERES;107;124
MOYOBAMBA;131;66
LAMAS;108;114
MARISCAL CACERES;92;123
MARISCAL CACERES;91;102
MOHO;147;15
SAN ROMAN;244;27
EL COLLAO;200;12
EL COLLAO;232;1
SAN ROMAN;51;17
SAN ROMAN;247;20
EL COLLAO;196;16
SAN ROMAN;196;46
SAN ROMAN;244;32
SAN ANTONIO DE PUTINA;236;10
SAN ROMAN;192;40
SAN ROMAN;243;34
MOHO;174;6
SAN ROMAN;201;49
SAN ROMAN;197;54
SAN ROMAN;163;16
EL COLLAO;67;9
EL COLLAO;222;8
MOHO;190;2
MOHO;191;5
SAN ROMAN;215;41
SAN ROMAN;187;48
EL COLLAO;201;14
PUNO;215;4
SAN ROMAN;170;61
EL COLLAO;217;
CARABAYA;169;15
PUNO;199;6
PUNO;191;15
SAN ROMAN;185;29
PUNO;204;15
PUNO;129;34
SAN ROMAN;207;39
EL COLLAO;210;12
SAN ROMAN;204;41
SAN ROMAN;227;25
SAN ROMAN;197;36
SAN ROMAN;188;43
SAN ROMAN;217;49
YUNGUYO;132;22
EL COLLAO;218;10
YUNGUYO;139;22
EL COLLAO;211;17
EL COLLAO;220;9
EL COLLAO;216;15
SAN ROMAN;39;23
SAN ANTONIO DE PUTINA;232;18
SAN ANTONIO DE PUTINA;241;17
SAN ANTONIO DE PUTINA;245;20
SAN ROMAN;214;52
BELLAVISTA;170;35
BELLAVISTA;123;80
BELLAVISTA;131;74
EL DORADO;116;90
BELLAVISTA;103;110
TOCACHE;106;47
TOCACHE;111;62
TOCACHE;123;32
BELLAVISTA;133;84
TOCACHE;117;60
BELLAVISTA;79;51
BELLAVISTA;80;49
BELLAVISTA;63;42
EL DORADO;133;88
TACNA;115;103
TACNA;126;89
BELLAVISTA;52;41
BELLAVISTA;102;90
TOCACHE;170;45
TACNA;116;82
BELLAVISTA;107;37
BELLAVISTA;127;36
PICOTA;119;103
BELLAVISTA;123;50
PICOTA;76;80
PICOTA;83;118
PICOTA;98;100
PICOTA;105;116
TACNA;144;73
TACNA;127;96
TACNA;138;99
TOCACHE;132;83
TOCACHE;117;69
MOYOBAMBA;141;26
TACNA;123;74
TACNA;112;83
TOCACHE;145;79
TOCACHE;111;91
LAMAS;106;50
SAN MARTIN;104;123
TOCACHE;117;89
PICOTA;147;59
BELLAVISTA;154;79
BELLAVISTA;158;74
PICOTA;109;61
PICOTA;121;58
PICOTA;96;69
EL DORADO;110;88
TOCACHE;120;78
SAN MARTIN;113;117
RIOJA;95;72
RIOJA;101;77
RIOJA;152;72
SAN MARTIN;94;125
SAN MARTIN;89;83
SAN MARTIN;95;113
SAN MARTIN;92;79
SAN MARTIN;156;82
RIOJA;149;82
RIOJA;103;67
RIOJA;122;67
SAN MARTIN;91;92
SAN MARTIN;96;120
RIOJA;120;64
SAN MARTIN;81;141
SAN MARTIN;97;107
SAN MARTIN;124;124
SAN MARTIN;96;117
SAN MARTIN;84;78
SAN MARTIN;83;94
SAN MARTIN;93;121
RIOJA;97;76
SAN MARTIN;143;77
SAN MARTIN;103;139
SAN MARTIN;94;139
SAN MARTIN;87;134
SAN MARTIN;100;143
SAN MARTIN;144;72
SAN MARTIN;146;78
SAN MARTIN;76;125
SAN MARTIN;92;138
RIOJA;124;73
SAN MARTIN;108;137
SAN MARTIN;145;92
SAN MARTIN;109;147
SAN MARTIN;118;118
RIOJA;126;88
SAN MARTIN;61;155
SAN MARTIN;124;107
RIOJA;138;73
RIOJA;117;96
SAN MARTIN;111;121
SAN MARTIN;94;136
SAN MARTIN;108;116
RIOJA;102;72
SAN MARTIN;105;131
SAN MARTIN;91;99
RIOJA;139;84
RIOJA;136;73
TACNA;200;31
CONTRALMIRANTE VILLAR;41;149
TUMBES;106;121
TUMBES;78;99
CORONEL PORTILLO;72;119
TUMBES;73;156
TUMBES;65;134
CONTRALMIRANTE VILLAR;87;111
CORONEL PORTILLO;83;126
CORONEL PORTILLO;58;130
ZARUMILLA;34;156
TUMBES;103;132
CORONEL PORTILLO;99;126
TUMBES;49;158
TUMBES;85;156
TUMBES;103;137
TUMBES;100;137
ZARUMILLA;55;163
ZARUMILLA;56;164
TUMBES;97;113
TUMBES;110;114
CORONEL PORTILLO;106;124
CORONEL PORTILLO;112;121
TUMBES;65;150
TUMBES;91;136
ZARUMILLA;160;59
TUMBES;88;141
CORONEL PORTILLO;101;129
TUMBES;70;120
TUMBES;68;151
TUMBES;64;161
TUMBES;104;134
TUMBES;79;159
ZARUMILLA;54;148
CORONEL PORTILLO;96;124
TUMBES;104;154
TUMBES;113;157
TUMBES;57;132
TUMBES;80;146
ZARUMILLA;29;154
ZARUMILLA;62;138
TUMBES;79;91
TUMBES;70;112
TACNA;33;6
TACNA;149;63
TACNA;136;66
TACNA;153;57
TACNA;107;116
TACNA;155;75
TACNA;171;54
TACNA;163;57
TACNA;192;23
TACNA;155;79
TACNA;186;41
TACNA;156;71
TACNA;163;69
TACNA;91;129
TACNA;181;57
TACNA;131;101
TACNA;139;93
TACNA;159;44
TACNA;155;42
TACNA;149;55
TACNA;159;56
TACNA;169;74
TACNA;194;34
TACNA;69;104
TACNA;214;35
TACNA;200;39
TACNA;119;69
TACNA;168;64
TACNA;153;31
TACNA;68;11
TACNA;172;71
TACNA;141;94
TACNA;181;64
TACNA;201;49
TACNA;115;75
TACNA;158;73
TACNA;162;43
TACNA;223;28
TACNA;176;51
TACNA;143;69
TACNA;134;86
TACNA;177;25
TACNA;169;53
TACNA;136;86
TACNA;155;74
TACNA;136;70
TACNA;149;72
TACNA;155;74
