PROVINCIA;VOTOS_P1;VOTOS_P2
HUARI;149;26
POMABAMBA;44;52
HUAYLAS;94;102
RECUAY;99;39
HUAYLAS;79;113
POMABAMBA;159;20
CARHUAZ;155;27
CARHUAZ;179;26
CARHUAZ;87;48
HUAYLAS;107;71
HUARI;155;44
CASMA;101;115
HUAYLAS;91;97
POMABAMBA;152;19
CASMA;77;132
HUAYLAS;67;73
HUAYLAS;89;69
BOLOGNESI;123;48
BOLOGNESI;130;76
CASMA;57;119
HUAYLAS;101;90
HUAYLAS;85;73
MARISCAL LUZURIAGA;145;28
CASMA;105;139
CASMA;98;147
MARISCAL LUZURIAGA;90;40
MARISCAL LUZURIAGA;83;46
MARISCAL LUZURIAGA;141;10
CASMA;64;157
PANAMA;30;104
PANAMA;27;110
HUARAZ;149;76
ESTADOS UNIDOS DE AMERICA;13;70
PARAGUAY;;
PARAGUAY;34;79
HUARAZ;135;77
HUARAZ;119;65
ESTADOS UNIDOS DE AMERICA;12;65
ESTADOS UNIDOS DE AMERICA;11;74
HUARAZ;52;11
HUARAZ;109;86
HUARAZ;132;82
HUARAZ;126;84
HUARAZ;131;87
HUARAZ;131;97
VENEZUELA;12;63
VENEZUELA;12;57
VENEZUELA;14;51
HUARAZ;157;76
HUARAZ;135;96
HUARAZ;92;89
HUARAZ;151;45
VENEZUELA;12;63
HUARAZ;134;81
HUARAZ;130;82
HUARAZ;93;45
HUARAZ;117;94
HUARAZ;92;116
VENEZUELA;11;44
VENEZUELA;9;37
ESTADOS UNIDOS DE AMERICA;20;81
ESTADOS UNIDOS DE AMERICA;8;95
HUARAZ;126;79
HUARAZ;109;77
HUARAZ;126;68
HUARAZ;104;72
HUARAZ;104;47
HUARAZ;149;82
HUARAZ;126;85
HUARAZ;120;76
HUARAZ;139;80
ESTADOS UNIDOS DE AMERICA;10;59
HUARAZ;98;32
HUARAZ;116;86
HUARAZ;127;87
HUARAZ;157;81
HUARAZ;147;72
HUARAZ;132;79
HUARAZ;146;72
ESTADOS UNIDOS DE AMERICA;22;77
ESTADOS UNIDOS DE AMERICA;33;68
HUARAZ;145;68
HUARAZ;162;64
HUARAZ;139;67
ESTADOS UNIDOS DE AMERICA;23;51
MEXICO;9;48
HUARAZ;147;87
MEXICO;19;79
HUARMEY;103;113
SANTA;107;125
HUARMEY;70;64
HUARMEY;81;107
SANTA;73;131
YUNGAY;158;47
OCROS;73;92
ANTONIO RAIMONDI;124;18
OCROS;81;67
OCROS;81;53
HUARAZ;126;53
HUARAZ;133;54
SANTA;67;149
SANTA;109;104
SANTA;103;112
SANTA;111;114
ANTONIO RAIMONDI;107;28
HUARI;159;35
HUARI;129;29
SIHUAS;108;46
CARLOS FERMIN FITZCARRALD;145;30
HUARAZ;99;66
SANTA;60;142
SANTA;117;125
CARLOS FERMIN FITZCARRALD;124;33
CARLOS FERMIN FITZCARRALD;126;40
HUARI;97;40
HUARI;148;25
SANTA;119;114
YUNGAY;117;75
CASMA;117;102
YUNGAY;151;74
ASUNCION;145;44
SANTA;107;115
YUNGAY;125;53
HUARMEY;94;103
HUARMEY;94;114
HUARMEY;95;108
SANTA;76;102
YUNGAY;88;85
YUNGAY;112;67
SANTA;117;113
SANTA;109;116
HUARMEY;107;120
HUARMEY;83;118
SANTA;122;104
SANTA;52;53
SANTA;120;103
SANTA;91;110
SANTA;116;106
SANTA;113;109
SANTA;76;135
SANTA;109;74
SANTA;89;120
SANTA;122;104
SANTA;94;116
SANTA;112;92
SANTA;105;105
SANTA;102;105
SANTA;101;123
SANTA;100;96
SANTA;103;93
SANTA;74;111
SANTA;127;104
SANTA;121;114
SANTA;97;139
SANTA;123;62
SANTA;79;125
SANTA;102;77
SANTA;123;118
SANTA;127;113
SANTA;64;78
SANTA;79;129
SANTA;100;109
SANTA;113;115
SANTA;92;120
SANTA;81;128
RECUAY;135;58
RECUAY;175;38
SANTA;67;55
SANTA;75;124
RECUAY;162;42
RECUAY;173;41
SANTA;81;91
SANTA;33;23
SANTA;85;135
SANTA;114;115
SANTA;82;93
SANTA;122;122
SANTA;92;108
SANTA;68;133
SANTA;122;98
SANTA;92;129
SANTA;107;86
SANTA;112;104
SANTA;48;35
SANTA;73;146
SANTA;102;116
SANTA;114;103
SANTA;82;70
SANTA;63;153
SANTA;103;99
AREQUIPA;91;152
COTABAMBAS;149;16
COTABAMBAS;154;2
ANTABAMBA;96;11
CHINCHEROS;143;66
ANTABAMBA;121;33
AREQUIPA;51;97
AREQUIPA;82;149
CHINCHEROS;121;25
CHINCHEROS;145;43
AREQUIPA;105;125
AREQUIPA;105;108
COTABAMBAS;144;9
AREQUIPA;86;146
COTABAMBAS;140;25
COTABAMBAS;120;28
COTABAMBAS;107;35
AREQUIPA;107;120
AREQUIPA;152;75
AREQUIPA;130;89
AREQUIPA;163;66
COTABAMBAS;98;15
COTABAMBAS;154;22
COTABAMBAS;160;21
CHINCHEROS;147;20
CHINCHEROS;175;21
AREQUIPA;114;122
AREQUIPA;129;80
AREQUIPA;124;83
COTABAMBAS;188;11
COTABAMBAS;198;4
COTABAMBAS;166;15
AREQUIPA;182;70
CHINCHEROS;208;15
CHINCHEROS;212;12
CHINCHEROS;144;3
AREQUIPA;124;85
ABANCAY;192;22
AREQUIPA;98;125
AREQUIPA;47;212
AREQUIPA;94;112
ANDAHUAYLAS;123;27
AYMARAES;98;13
AREQUIPA;106;131
GRAU;161;26
ANDAHUAYLAS;139;31
ANDAHUAYLAS;118;30
COTABAMBAS;137;18
AREQUIPA;97;106
GRAU;88;23
GRAU;153;31
AYMARAES;102;29
SANTA;156;59
SANTA;135;67
ABANCAY;161;48
ANDAHUAYLAS;158;54
YUNGAY;94;37
ABANCAY;162;52
ANDAHUAYLAS;159;36
ANDAHUAYLAS;155;47
YUNGAY;110;48
YUNGAY;101;15
YUNGAY;91;84
ANDAHUAYLAS;170;45
ANDAHUAYLAS;197;25
ABANCAY;125;69
ABANCAY;159;72
ANDAHUAYLAS;106;38
ANDAHUAYLAS;186;39
ABANCAY;122;59
ANDAHUAYLAS;189;19
ANDAHUAYLAS;185;36
CARLOS FERMIN FITZCARRALD;79;52
ABANCAY;125;37
ABANCAY;122;31
ABANCAY;139;47
ANDAHUAYLAS;186;59
ANDAHUAYLAS;204;45
ANDAHUAYLAS;179;22
ABANCAY;142;68
ABANCAY;109;46
ABANCAY;138;22
ABANCAY;152;25
ANDAHUAYLAS;162;47
ANDAHUAYLAS;166;41
ANDAHUAYLAS;172;20
ABANCAY;166;54
ABANCAY;139;45
ABANCAY;153;58
ABANCAY;178;65
ANDAHUAYLAS;156;22
ANDAHUAYLAS;127;25
MARISCAL LUZURIAGA;137;38
ABANCAY;173;44
ABANCAY;179;46
ANDAHUAYLAS;157;23
ANDAHUAYLAS;167;31
ABANCAY;166;57
ANDAHUAYLAS;223;5
ANDAHUAYLAS;203;14
RECUAY;119;61
ABANCAY;39;17
AYMARAES;155;31
ANDAHUAYLAS;189;24
ABANCAY;137;60
ABANCAY;78;8
ABANCAY;54;8
AREQUIPA;108;124
AREQUIPA;58;90
AREQUIPA;120;51
AREQUIPA;155;86
AREQUIPA;153;94
AREQUIPA;158;82
AREQUIPA;214;18
AREQUIPA;115;124
AREQUIPA;120;110
AREQUIPA;171;57
AREQUIPA;183;62
AREQUIPA;179;66
AREQUIPA;204;23
AREQUIPA;125;82
AREQUIPA;115;148
AREQUIPA;123;82
AREQUIPA;143;99
AREQUIPA;111;134
AREQUIPA;142;83
AREQUIPA;152;82
